customerID,Churn,Genero,customer.SeniorCitizen,Pareja,Dependientes,customer.tenure,ServicioTelefono,LineasMultiples,ServicioInternet,SeguridadOnline,RespaldoOnline,ProteccionDispositivo,SoporteTecnico,StreamingTV,StreamingPeliculas,Contrato,FacturacionSinPapel,MetodoPago,account.Charges.Monthly,TotalFacturado,Cuentas_Diarias
0002-ORFBO,0,0,0,1,1,9,1,No,DSL,No,Yes,No,Yes,Yes,No,1,1,Mailed check,65.6,593.3,2.197407407407407
0003-MKNFE,0,1,0,0,0,9,1,Yes,DSL,No,No,No,No,No,Yes,0,0,Mailed check,59.9,542.4,2.008888888888889
0004-TLHLJ,1,1,0,0,0,4,1,No,Fiber optic,No,No,Yes,No,No,No,0,1,Electronic check,73.9,280.85,2.340416666666667
0011-IGKFF,1,1,1,1,0,13,1,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,0,1,Electronic check,98.0,1237.85,3.1739743589743585
0013-EXCHZ,1,0,1,1,0,3,1,No,Fiber optic,No,No,No,Yes,Yes,No,0,1,Mailed check,83.9,267.4,2.971111111111111
0013-MHZWF,0,0,0,0,1,9,1,No,DSL,No,No,No,Yes,Yes,Yes,0,1,Credit card (automatic),69.4,571.45,2.1164814814814816
0013-SMEOE,0,0,1,1,0,71,1,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,2,1,Bank transfer (automatic),109.7,7904.25,3.7109154929577466
0014-BMAQU,0,1,0,1,0,63,1,Yes,Fiber optic,Yes,No,No,Yes,No,No,2,1,Credit card (automatic),84.65,5377.8,2.8453968253968256
0015-UOCOJ,0,0,1,0,0,7,1,No,DSL,Yes,No,No,No,No,No,0,1,Electronic check,48.2,340.35,1.6207142857142858
0016-QLJIS,0,0,0,1,1,65,1,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,2,1,Mailed check,90.45,5957.9,3.055333333333333
0017-DINOC,0,1,0,0,0,54,0,No,DSL,Yes,No,No,Yes,Yes,No,2,0,Credit card (automatic),45.2,2460.55,1.518858024691358
0017-IUDMW,0,0,0,1,1,72,1,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,2,1,Credit card (automatic),116.8,8456.75,3.915162037037037
0018-NYROU,0,0,0,1,0,5,1,No,Fiber optic,No,No,No,No,No,No,0,1,Electronic check,68.95,351.5,2.3433333333333333
0019-EFAEP,0,0,0,0,0,72,1,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,No,2,1,Bank transfer (automatic),101.3,7261.25,3.361689814814815
0019-GFNTW,0,0,0,0,0,56,0,No,DSL,Yes,Yes,Yes,Yes,No,No,2,0,Bank transfer (automatic),45.05,2560.1,1.5238690476190475
0020-INWCK,0,0,0,1,1,71,1,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,2,1,Credit card (automatic),95.75,6849.4,3.215680751173709
0020-JDNXP,0,0,0,1,1,34,0,No,DSL,Yes,No,Yes,Yes,Yes,Yes,1,0,Mailed check,61.25,1993.2,1.9541176470588235
0021-IKXGC,0,0,1,0,0,1,1,Yes,Fiber optic,No,No,No,No,No,No,0,1,Electronic check,72.1,72.1,2.4033333333333333
0022-TCJCI,1,1,1,0,0,45,1,No,DSL,Yes,No,Yes,No,No,Yes,1,0,Credit card (automatic),62.7,2791.5,2.0677777777777777
0023-HGHWL,1,1,1,0,0,1,0,No,DSL,No,No,No,No,No,No,0,1,Electronic check,25.1,25.1,0.8366666666666667
0023-UYUPN,0,0,1,1,0,50,1,Yes,No,No,No,No,No,No,No,1,0,Electronic check,25.2,1306.3,0.8708666666666667
